pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_eqt,pl_dens,st_teff,st_lum,st_met,star_F,star_G,star_K,target,habitability_score,habitability_rank
1.1,195.89164,0.469285,0.0935,811.0,1.338589,5482.0,0.00432,0.09,False,True,False,1,0.8793705510951444,145
1.557,195.89164,0.959628,0.0935,811.0,1.338589,5370.0,0.00432,0.0,False,True,False,1,0.8793483799221022,146
1.04,195.89164,0.764863517,0.0152,811.0,1.338589,5231.0,0.00432,0.0,False,True,False,1,0.8792822633716012,147
1.1,195.89164,0.764864926,0.0152,811.0,1.338589,5231.0,0.00432,0.0,False,True,False,1,0.8792822633716012,148
1.397,195.89164,0.4702694,0.0935,811.0,1.338589,5430.0,0.00432,0.13,False,True,False,1,0.8792354335126827,149
1.4,195.89164,6.41491277,0.0659,811.0,1.338589,5931.0,0.00432,-0.24,False,True,False,1,0.8786629036636185,150
1.18,195.89164,0.968526023,0.0935,811.0,1.338589,5791.0,0.00432,-0.02,False,True,False,1,0.8784553587443069,151
1.22,195.89164,6.17817366,0.0643,811.0,1.338589,5931.0,0.00432,-0.24,False,True,False,1,0.8779561219348848,152
0.92,195.89164,0.935118057,0.0935,811.0,1.338589,5909.0,0.00432,0.0,False,True,False,1,0.8757073930488214,153
1.0,195.89164,0.365261,0.0935,811.0,1.338589,5456.0,0.00432,0.13,False,True,False,1,0.8754767670409247,154
1.05548088,195.89164,0.365257,0.0935,811.0,1.338589,5456.0,0.00432,0.13,False,True,False,1,0.8754767670409247,155
1.51482218,195.89164,0.524177015,0.0935,811.0,1.338589,5278.0,0.00432,0.14,False,True,False,1,0.8745014344064415,156
1.651,195.89164,0.369,0.0935,811.0,1.338589,5200.0,0.00432,-0.02,False,True,False,1,0.8733232335128288,157
1.5,195.89164,0.369311,0.0935,811.0,1.338589,5200.0,0.00432,-0.02,False,True,False,1,0.8733232335128288,158
1.61,195.89164,0.962867382,0.0935,811.0,1.338589,5488.0,0.00432,-0.07,False,True,False,1,0.8729854811680783,159
