,pl_rad,pl_mass,pl_orbper,pl_sma,pl_ecc,st_temp,st_met,st_rad,st_age,st_mass,habitability_score,habitable
4634,1.22,176.0769375,1.340597468,0.11415,0.09,5973.0,0.15,1.12,3.02,1.11,-7.245374474269554,0
4635,1.47,176.0769375,13.93290318,0.11415,0.09,6154.0,0.08,1.23,2.88,1.17,-7.5717633631584444,0
4636,7.777125000000002,257.4423,6.24658,0.0731,0.09,4550.0,0.11,1.9420000000000004,4.17,1.31,-7.242279223554408,0
4637,0.82,176.0769375,2.364369015,0.11415,0.09,6230.0,0.12,1.5,3.39,1.26,-7.590318918713999,0
4638,2.6,176.0769375,20.310501,0.11415,0.09,6112.0,0.03,1.9420000000000004,3.55,1.34,-7.8524300298251095,0
4639,2.8,176.0769375,2.534756273,0.11415,0.09,5998.0,0.02,1.11,3.16,1.07,-7.754096696491777,0
4640,2.06,176.0769375,10.29672521,0.11415,0.09,4687.0,-0.38,0.61,5.62,0.63,-5.711263363158443,1
4641,3.8580709,176.0769375,5.939119816,0.11415,0.09,6068.0,0.16,1.797,4.17,1.294,-8.168740188713999,0
4642,1.38,176.0769375,4.40966548,0.11415,0.09,5877.0,0.22,1.15,3.98,1.1,-7.1600411409362215,0
4643,1.5,176.0769375,4.59489604,0.11415,0.09,6173.0,0.08,1.38,3.39,1.21,-7.6071522520473325,0
4644,1.76,176.0769375,32.2968798,0.11415,0.09,5248.0,-0.05,0.81,4.79,0.85,-6.40043002982511,0
4645,1.91,176.0769375,2.970414375,0.11415,0.09,5418.0,-0.38,0.76,4.17,0.8,-6.681541140936221,0
4646,1.74,176.0769375,4.85386933,0.11415,0.09,6028.0,0.06,1.14,3.24,1.11,-7.477763363158443,0
4647,2.25,176.0769375,11.04603384,0.11415,0.09,6113.0,0.07,1.21,3.02,1.15,-7.748818918713998,0
4648,3.51,64.3,13.749,0.11415,0.09,5551.0,0.02,1.7,4.17,1.21,-7.346263363158444,0
4649,2.6,6.1,26.723,0.11415,0.09,5551.0,0.02,1.7,4.17,1.21,-7.073263363158444,0
4650,2.067,176.0769375,49.3568,0.11415,0.07,5904.34,0.1381,1.81719,4.17,1.07,-7.404113363158444,0
4651,2.42,176.0769375,6.53192704,0.11415,0.09,5403.0,0.0,0.85,4.37,0.89,-6.8137078076028885,0
4652,3.8,176.0769375,92.086427889875,0.11415,0.09,5403.0,0.0,0.85,4.37,0.89,-7.227707807602888,0
4653,2.87,176.0769375,51.300634,0.11415,0.09,5663.0,-0.12,0.91,4.27,0.93,-7.309818918713998,0
4654,1.42,176.0769375,0.938466832,0.11415,0.09,5671.0,-0.05,0.93,4.37,0.95,-6.88593002982511,0
4655,1.38,176.0769375,6.93366476,0.11415,0.09,5988.0,0.07,1.26,4.68,1.11,-7.314207807602888,0
4656,3.07,176.0769375,61.0370117,0.11415,0.09,6167.0,0.01,1.23,3.09,1.14,-8.069818918713999,0
4657,2.34,176.0769375,33.8678531,0.11415,0.09,4673.0,0.12,0.72,2.57,0.77,-5.775818918713999,1
4658,2.31,176.0769375,52.0688601,0.11415,0.09,5806.0,0.03,1.01,4.37,1.01,-7.34043002982511,0
4659,1.72,176.0769375,9.1149903,0.11415,0.09,5743.0,0.03,0.99,4.37,0.99,-7.07593002982511,0
4660,1.59,176.0769375,3.932461302,0.11415,0.09,4700.0,-0.11,0.7,4.37,0.73,-5.588318918713998,1
4661,1.11,176.0769375,0.921032135,0.11415,0.09,5869.0,-0.04,1.02,3.47,1.01,-7.067930029825109,0
4662,1.478,4.66,4.72673978,0.05343,0.0,5669.0,-0.18,0.919,6.6,0.911,-6.9096582376724145,0
4663,2.43818351,954.0,92.086427889875,0.11415,0.09,5669.0,-0.18,0.92,5.05,0.91,-7.1886073050473325,0
4664,2.13,176.0769375,71.4517775,0.11415,0.09,6335.0,0.04,1.4,2.34,1.25,-8.021152252047333,0
4665,1.33,176.0769375,8.03755877,0.11415,0.09,5241.0,-0.01,0.81,4.68,0.86,-6.261707807602889,0
4666,1.37,176.0769375,1.921437396,0.11415,0.09,5331.0,-0.01,0.84,4.68,0.87,-6.3987078076028885,0
4667,2.46,176.0769375,14.20443009,0.11415,0.09,5346.0,-0.02,0.84,4.68,0.87,-6.746541140936221,0
4668,2.09,176.0769375,55.6738309,0.11415,0.09,5001.0,0.01,0.77,4.47,0.81,-6.156374474269554,0
4669,1.35,176.0769375,4.88083852,0.11415,0.09,4830.0,-0.01,0.73,3.8,0.78,-5.6968744742695545,1
4670,1.45,176.0769375,10.56134221,0.11415,0.09,5482.0,0.05,0.89,4.57,0.92,-6.63243002982511,0
4671,3.72,176.0769375,67.668827,0.11415,0.09,6095.0,0.08,1.22,3.24,1.15,-8.164818918714,0
4672,2.67,176.0769375,92.086427889875,0.11415,0.09,6095.0,0.08,1.22,3.24,1.15,-7.849818918713998,0
4673,2.22,176.0769375,52.6298417,0.11415,0.09,5533.0,-0.03,0.89,4.27,0.92,-6.934263363158443,0
4674,1.75,176.0769375,14.878296,0.11415,0.09,5471.0,-0.12,0.85,4.47,0.88,-6.707152252047332,0
4675,3.51,10.84,2.50806,0.11415,0.09,4781.0,0.34,0.76,1.41,0.81,-6.2768189187139996,0
4676,2.43818351,1728.9864384999996,92.086427889875,0.11415,0.09,4781.0,0.34,0.76,1.41,0.81,-5.955273971713999,1
4677,3.34,176.0769375,59.6225257,0.11415,0.09,5769.0,-0.08,0.96,3.63,0.97,-7.598041140936221,0
4678,3.08,176.0769375,17.42395198,0.11415,0.09,5539.0,-0.15,0.86,4.07,0.89,-7.200596696491776,0
4679,2.13,176.0769375,44.96417488,0.11415,0.09,4861.0,0.09,0.75,4.17,0.81,-5.97393002982511,0
4680,5.93,176.0769375,49.7701438,0.11415,0.09,5612.0,-0.07,0.91,4.27,0.93,-8.156985585380665,0
4681,2.63,176.0769375,43.3167737,0.11415,0.09,5409.0,-0.11,0.83,4.47,0.86,-6.885041140936221,0
4682,2.63,176.0769375,31.0033814,0.11415,0.09,5718.0,-0.01,0.97,4.47,0.97,-7.314207807602888,0
4683,1.93,176.0769375,11.79162572,0.11415,0.09,5665.0,-0.09,0.93,4.17,0.94,-7.030596696491777,0
4684,2.28,176.0769375,26.9644317,0.11415,0.09,5508.0,-0.07,0.87,4.27,0.9,-6.917541140936221,0
4685,1.85,176.0769375,7.76846622,0.11415,0.09,5679.0,-0.02,0.94,4.17,0.96,-7.026041140936221,0
4686,2.91,176.0769375,8.689307296,0.11415,0.09,5403.0,0.01,0.86,4.57,0.89,-6.960707807602888,0
4687,3.42,13.0,11.5231,0.11415,0.09,5699.0,0.3,1.41,5.63,1.08,-7.524818918713998,0
4688,7.777125000000002,176.0769375,92.086427889875,0.11415,0.09,5857.0,0.02,1.02,3.8,1.02,-9.051400863158445,0
4689,5.59,176.0769375,71.52530845,0.11415,0.09,4834.0,-0.01,0.73,4.27,0.77,-6.974430029825109,0
4690,7.65,176.0769375,92.086427889875,0.11415,0.09,5730.0,0.06,0.99,4.27,1.0,-8.836874474269555,0
4691,4.21,176.0769375,88.40655258,0.11415,0.09,5416.0,0.26,0.99,8.71,0.95,-7.368763363158444,0
4692,1.19,176.0769375,9.10967112,0.11415,0.09,5416.0,0.26,0.99,8.71,0.95,-6.462763363158444,0
4693,2.32,176.0769375,16.78176602,0.11415,0.09,4990.0,0.02,0.76,3.39,0.82,-6.210096696491777,0
4694,3.13,176.0769375,14.53244172,0.11415,0.09,5350.0,0.02,0.84,4.37,0.89,-6.9530966964917775,0
4695,3.0,176.0769375,5.248672631,0.11415,0.09,6040.0,0.02,1.15,3.47,1.1,-7.872430029825109,0
4696,5.5,176.0769375,5.907413537,0.11415,0.09,4963.0,-0.01,0.75,2.75,0.81,-7.126596696491776,0
4697,2.06,176.0769375,9.7678805,0.11415,0.09,5421.0,0.01,0.86,4.37,0.91,-6.730707807602888,0
4698,4.38,176.0769375,14.80074836,0.11415,0.09,7005.0,0.02,1.9420000000000004,1.35,1.5950000000000002,-9.62670780760289,0
4699,2.67,8.46,16.2385,0.11415,0.09,5690.0,0.04,1.02,2.34,1.0,-7.287318918713998,0
4700,2.29,176.0769375,3.12686223,0.11415,0.09,4755.0,0.02,0.72,3.63,0.77,-5.874707807602888,1
4701,2.55,176.0769375,16.87727414,0.11415,0.09,5582.0,0.05,0.9,2.82,0.96,-7.101318918713998,0
4702,1.97,176.0769375,12.05707239,0.11415,0.09,5478.0,0.01,0.86,2.4,0.93,-6.782874474269554,0
4703,2.66,176.0769375,9.97683705,0.11415,0.09,5461.0,-0.02,0.87,4.07,0.91,-6.966263363158444,0
4704,0.6,176.0769375,0.919783,0.11415,0.09,5169.47,0.02,0.928,4.17,0.821,-6.183360585380666,0
