pl_name,predicted_class,habitability_probability,habitability_score,actual_label,pl_rade,pl_eqt,pl_insol,st_teff,pl_orbeccen,rank
Kepler-44 b,0,0.0,0.0,0,12.71,1460.0,1072.7,5763.0,0.0,348
Kepler-45 b,0,0.0,0.0,0,10.6,730.0,67.3,3793.0,0.0,349
Kepler-44 b,0,0.0,0.0,0,12.71,1460.0,1072.7,5763.0,0.0,350
Kepler-44 b,0,0.0,0.0,0,12.4,1459.0,1072.7,5763.0,0.0,351
Kepler-441 b,0,0.0,0.0,0,1.93,194.0,0.34,4243.0,0.0,352
Kepler-441 b,0,0.0,0.0,0,1.56,189.0,0.3,4339.0,0.0,353
Kepler-441 b,0,0.0,0.0,0,1.93,194.0,0.34,4243.0,0.0,354
Kepler-441 b,0,0.0,0.0,0,1.93,194.0,0.34,4243.0,0.0,355
Kepler-444 b,0,0.0,0.0,0,0.31,863.0,131.31,5032.0,0.0,356
Kepler-444 b,0,0.0,0.0,0,0.31,863.0,131.31,5032.0,0.0,357
Kepler-444 b,0,0.0,0.0,0,0.5,938.0,182.81,5051.0,0.0,358
Kepler-444 c,0,0.0,0.0,0,0.39,799.0,96.19,5032.0,0.0,359
Kepler-444 c,0,0.0,0.0,0,0.65,868.0,134.21,5051.0,0.0,360
Kepler-44 b,0,0.0,0.0,0,12.71,1460.0,1072.7,5763.0,0.0,361
Kepler-433 b,0,0.0,0.0,0,7.93,1149.0,412.27,6057.0,0.0,362
Kepler-433 b,0,0.0,0.0,0,7.93,1149.0,412.27,6057.0,0.0,363
Kepler-433 b,0,0.0,0.0,0,13.08,1495.0,1180.64,6332.0,0.0,364
Kepler-433 b,0,0.0,0.0,0,7.93,1149.0,412.27,6057.0,0.0,365
Kepler-434 b,0,0.0,0.0,0,8.0,768.0,82.36,5926.0,0.0,366
Kepler-434 b,0,0.0,0.0,0,8.0,768.0,82.36,5926.0,0.0,367
Kepler-434 b,0,0.0,0.0,0,11.26,926.0,173.5,5963.0,0.0,368
Kepler-434 b,0,0.0,0.0,0,8.0,768.0,82.36,5926.0,0.0,369
Kepler-435 b,0,0.0,0.0,0,7.47,1016.0,252.15,6293.0,0.0,370
Kepler-435 b,0,0.0,0.0,0,14.54812099,1382.32,862.8947,6011.95,0.0,371
Kepler-435 b,0,0.0,0.0,0,7.47,1016.0,252.15,6293.0,0.0,372
Kepler-437 b,0,0.0,0.0,0,1.37,294.0,1.78,4427.0,0.0,373
Kepler-435 b,0,0.0,0.0,0,7.47,1016.0,252.15,6293.0,0.0,374
Kepler-436 b,0,0.0,0.0,0,2.48,322.0,2.55,4652.0,0.0,375
Kepler-436 b,0,0.0,0.0,0,1.9,271.0,1.28,4299.0,0.0,376
Kepler-436 b,0,0.0,0.0,0,1.9,271.0,1.28,4299.0,0.0,377
Kepler-436 b,0,0.0,0.0,0,1.9,271.0,1.28,4299.0,0.0,378
Kepler-436 c,0,0.0,0.0,0,1.7,423.0,7.58,4299.0,0.0,379
Kepler-436 c,0,0.0,0.0,0,1.7,423.0,7.58,4299.0,0.0,380
Kepler-436 c,0,0.0,0.0,0,2.75,503.0,15.19,4652.0,0.0,381
Kepler-436 c,0,0.0,0.0,0,1.7,423.0,7.58,4299.0,0.0,382
Kepler-437 b,0,0.0,0.0,0,1.37,294.0,1.78,4427.0,0.0,383
Kepler-437 b,0,0.0,0.0,0,1.37,294.0,1.78,4427.0,0.0,384
Kepler-435 b,0,0.0,0.0,0,26.52,1703.0,1986.75,6093.0,0.0,385
Kepler-446 b,0,0.0,0.0,0,2.61,727.0,66.11,3485.0,0.0,386
Kepler-446 b,0,0.0,0.0,0,1.73,648.0,41.85,3464.0,0.0,387
Kepler-446 c,0,0.0,0.0,0,1.4,520.0,17.31,3464.0,0.0,388
Kepler-446 c,0,0.0,0.0,0,2.1,583.0,27.4,3485.0,0.0,389
Kepler-446 c,0,0.0,0.0,0,2.1,583.0,27.4,3485.0,0.0,390
Kepler-446 c,0,0.0,0.0,0,2.1,583.0,27.4,3485.0,0.0,391
Kepler-446 d,0,0.0,0.0,0,2.44,489.0,13.55,3485.0,0.0,392
Kepler-446 d,0,0.0,0.0,0,2.44,489.0,13.55,3485.0,0.0,393
Kepler-446 d,0,0.0,0.0,0,1.72,436.0,8.54,3464.0,0.0,394
Kepler-446 d,0,0.0,0.0,0,2.44,489.0,13.55,3485.0,0.0,395
Kepler-447 b,0,0.0,0.0,0,16.51,882.0,142.82,5494.0,0.0,396
Kepler-444 c,0,0.0,0.0,0,0.39,799.0,96.19,5032.0,0.0,397
Kepler-447 b,0,0.0,0.0,0,6.06,862.0,130.75,5555.0,0.0,398
Kepler-447 b,0,0.0,0.0,0,4.9169842,829.91,112.1124,5461.54,0.0,399
Kepler-447 b,0,0.0,0.0,0,6.06,862.0,130.75,5555.0,0.0,400
Kepler-449 b,0,0.0,0.0,0,1.57,923.0,171.32,5588.0,0.0,401
Kepler-449 b,0,0.0,0.0,0,1.57,923.0,171.32,5588.0,0.0,402
Kepler-449 b,0,0.0,0.0,0,1.57,923.0,171.32,5588.0,0.0,403
Kepler-449 b,0,0.0,0.0,0,1.53,917.0,167.41,5587.0,0.0,404
Kepler-449 c,0,0.0,0.0,0,1.89,665.0,46.12,5588.0,0.0,405
Kepler-449 c,0,0.0,0.0,0,1.86,661.0,45.09,5587.0,0.0,406
Kepler-449 c,0,0.0,0.0,0,1.89,665.0,46.12,5588.0,0.0,407
Kepler-449 c,0,0.0,0.0,0,1.89,665.0,46.12,5588.0,0.0,408
Kepler-447 b,0,0.0,0.0,0,6.06,862.0,130.75,5555.0,0.0,409
Kepler-444 c,0,0.0,0.0,0,0.39,799.0,96.19,5032.0,0.0,410
Kepler-444 d,0,0.0,0.0,0,0.4,721.0,63.89,5032.0,0.0,411
Kepler-444 d,0,0.0,0.0,0,0.65,783.0,88.79,5051.0,0.0,412
Kepler-444 d,0,0.0,0.0,0,0.4,721.0,63.89,5032.0,0.0,413
Kepler-444 d,0,0.0,0.0,0,0.4,721.0,63.89,5032.0,0.0,414
Kepler-444 e,0,0.0,0.0,0,0.42,669.0,47.32,5032.0,0.0,415
Kepler-444 e,0,0.0,0.0,0,0.42,669.0,47.32,5032.0,0.0,416
Kepler-444 e,0,0.0,0.0,0,0.62,727.0,65.88,5051.0,0.0,417
