pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_orbincl,pl_insol,pl_eqt,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_rvamp,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_spectype,sy_dist,sy_plx,sy_snum,sy_pnum,sy_vmag,sy_gaiamag,discoverymethod,HSI,SCI,OSF,is_habitable,sy_kepmag,pl_masse,pl_cmasse,elat,pl_imppar,pl_msinie,sy_w1mag,ra,sy_pm,sy_pmra,sy_w4mag
KMT-2020-BLG-0414L b,KMT-2020-BLG-0414L,1553.9881501081024,0.50775,1.1843244751595725,1.87,6.20270450475206,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,0.1661214290814702,5558.0,0.9525,0.49,0.01,0.0866649999999999,4.45,4.1,1.50018,WD,1220.0,0.819672131147541,1,2,13.23,12.96845,Microlensing,2.986960589857559e-14,0.6883344090345422,0.0001110987668036885,0,14.2635,1.87,1.87,-5.05717,0.39355,1.87,11.3815,271.915,6.805369089953902,-1.15564,8.969
KMT-2020-BLG-0414L c,KMT-2020-BLG-0414L,54947.69502975103,0.50775,9.049332515454054,366.2115375,0.0594803288834129,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,232.2593832783712,5558.0,0.9525,0.49,0.01,0.0866649999999999,4.45,4.1,1.50018,WD,1220.0,0.819672131147541,1,2,13.23,12.96845,Microlensing,1.9950640240900476e-70,0.6883344090345422,0.0001110987668036885,0,14.2635,8581.366989,8581.366989,-5.05717,0.39355,8581.366989,11.3815,271.915,6.805369089953902,-1.15564,8.969
KMT-2021-BLG-0119L b,KMT-2021-BLG-0119L,2435.4010462594097,0.50775,9.049332515454054,366.2115375,0.1315484406361089,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,122.74777101561902,5558.0,0.9525,0.56,0.01,0.0866649999999999,4.45,4.1,1.50018,G,3130.0,0.3194888178913738,1,1,13.23,12.96845,Microlensing,1.9950640240900476e-70,0.6883344090345422,0.0001110987668036885,0,14.2635,1754.412807,1754.412807,-6.35312,0.39355,1754.412807,11.3815,274.0005417,6.805369089953902,-1.15564,8.969
KMT-2021-BLG-0171L b,KMT-2021-BLG-0171L,2707.977114764181,0.50775,3.3466401061363023,11.2,1.646427409358127,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,0.606462516779517,5200.0,0.9525,0.78,0.01,0.0866649999999999,4.45,4.1,1.50018,G,4600.0,0.217391304347826,1,1,13.23,12.96845,Microlensing,5.949228334345717e-19,0.6233317905690315,0.0001110987668036885,0,14.2635,11.2,11.2,-6.65551,0.39355,11.2,11.3815,269.2416667,6.805369089953902,-1.15564,8.969
KMT-2021-BLG-0192L b,KMT-2021-BLG-0192L,1449.3753282535204,0.50775,5.912793313654723,34.96112477,0.9318776604748668,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,4.729478676179228,5558.0,0.9525,0.3295000000000001,0.01,0.0866649999999999,4.45,4.1,1.50018,G,5120.0,0.1953125,1,1,13.23,12.96845,Microlensing,4.0478905744847527e-35,0.6883344090345422,0.0001110987668036885,0,14.2635,34.96112477,34.96112477,-6.58027,0.39355,34.96112477,11.3815,268.1049583,6.805369089953902,-1.15564,8.969
KMT-2021-BLG-0240L b,KMT-2021-BLG-0240L,2286.8267205890347,0.50775,8.16969800359842,66.74396547,0.6744435348250412,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,4.768768514791495,5558.0,0.9525,0.56,0.01,0.0866649999999999,4.45,4.1,1.50018,G,6600.0,0.1515151515151515,1,1,13.23,12.96845,Microlensing,8.445743217508381e-59,0.6883344090345422,0.0001110987668036885,0,14.2635,66.74396547,66.74396547,-6.58345,0.39355,66.74396547,11.3815,267.5772917,6.805369089953902,-1.15564,8.969
KMT-2021-BLG-0320L b,KMT-2021-BLG-0320L,1233.9464608605645,0.50775,5.637627222511258,31.7828407,0.977361535718141,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,4.050649133632771,5558.0,0.9525,0.3295000000000001,0.01,0.0866649999999999,4.45,4.1,1.50018,G,6950.0,0.1438848920863309,1,1,13.23,12.96845,Microlensing,7.743963081862839e-33,0.6883344090345422,0.0001110987668036885,0,14.2635,31.7828407,31.7828407,-7.06579,0.39355,31.7828407,11.3815,269.388125,6.805369089953902,-1.15564,8.969
KMT-2021-BLG-0322L b,KMT-2021-BLG-0322L,12.283211,0.1003949523459706,9.049332515454054,366.2115375,0.1221701919587614,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,2.72,5558.0,0.9525,0.62,0.01,0.0866649999999999,4.45,4.1,1.50018,G,6600.0,0.1515151515151515,2,1,13.23,12.96845,Microlensing,1.9950640240900476e-70,0.6883344090345422,0.0001110987668036885,0,14.2635,2034.101805,2034.101805,-6.16763,0.39355,2034.101805,11.3815,270.9116667,6.805369089953902,-1.15564,8.969
KMT-2021-BLG-0712L b,KMT-2021-BLG-0712L,2575.777503868316,0.50775,6.17980582219215,38.19,0.8916137753411563,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,4.889101972384698,5558.0,0.9525,0.3295000000000001,0.01,0.0866649999999999,4.45,4.1,1.50018,G,3090.0,0.3236245954692556,1,1,13.23,12.96845,Microlensing,1.850495806559562e-37,0.6883344090345422,0.0001110987668036885,0,14.2635,38.19,38.19,-7.74672,0.39355,38.19,11.3815,269.2856667,6.805369089953902,-1.15564,8.969
KMT-2021-BLG-0736L b,KMT-2021-BLG-0736L,3772.285779206024,0.50775,4.58257569495584,21.0,1.2023805752003185,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,1.212776962383049,5558.0,0.9525,0.6,0.01,0.0866649999999999,4.45,4.1,1.50018,G,7000.0,0.1428571428571428,1,1,13.23,12.96845,Microlensing,2.616386938981014e-25,0.6883344090345422,0.0001110987668036885,0,14.2635,21.0,21.0,-6.28167,0.39355,21.0,11.3815,268.3225833,6.805369089953902,-1.15564,8.969
KMT-2021-BLG-0748L b,KMT-2021-BLG-0748L,2305.942026958221,0.50775,9.049332515454054,143.0227832,0.4607326463042621,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,13.681008182342614,5558.0,0.9525,0.36,0.01,0.0866649999999999,4.45,4.1,1.50018,G,6090.0,0.1642036124794745,1,1,13.23,12.96845,Microlensing,1.9950640240900476e-70,0.6883344090345422,0.0001110987668036885,0,14.2635,143.0227832,143.0227832,-2.32564,0.39355,143.0227832,11.3815,272.4213333,6.805369089953902,-1.15564,8.969
KMT-2021-BLG-0909L b,KMT-2021-BLG-0909L,1371.6885054496631,0.50775,9.049332515454054,366.2115375,0.2753404201136034,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,43.93591732517845,5558.0,0.9525,0.38,0.01,0.0866649999999999,4.45,4.1,1.50018,G,6480.0,0.1543209876543209,1,1,13.23,12.96845,Microlensing,1.9950640240900476e-70,0.6883344090345422,0.0001110987668036885,0,14.2635,400.4637928,400.4637928,-4.25898,0.39355,400.4637928,11.3815,265.6202083,6.805369089953902,-1.15564,8.969
