pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_dens,st_teff,st_rad,st_mass,st_lum,pl_rade_original,pl_bmasse_original,pl_orbper_original,pl_eqt_original,pl_dens_original,st_teff_original,st_rad_original,st_mass_original,st_lum_original,habitable
Kepler-216 b,-0.03664219078299707,-0.1227152091663114,-0.0054387587757567255,-0.12737739287788846,-0.01982812812908841,0.6553653856595162,0.2915320888058734,0.6525995606937853,1.7161858123580596,2.31,188.15536,7.69362068,798.0,1.325,6093.45,1.62969,1.14,0.51836,0
Kepler-216 b,-0.042564142855266024,-0.1227152091663114,-0.005438758840242308,0.6011050935684195,-0.01982812812908841,0.849340439774387,-0.04918914173770285,0.615732537279493,0.04710786240144971,1.96,188.15536,7.693491,1008.0,1.325,6278.0,1.05,1.129,-0.08612,0
Kepler-216 b,-0.035965396260452046,-0.1227152091663114,-0.0054387587656522605,-0.12737739287788846,-0.01982812812908841,0.6527902630229331,0.07424141323849305,0.04596944814951567,0.04710786240144971,2.35,188.15536,7.693641,798.0,1.325,6091.0,1.26,0.959,-0.08612,0
Kepler-32 c,-0.041887348332720994,-0.1227152091663114,-0.005438232379210799,-1.265197657422598,-0.01982812812908841,-1.7625696630457355,-0.35482670644066416,-1.3583289891767218,0.04710786240144971,2.0,188.15536,8.7522,470.0,1.325,3793.0,0.53,0.54,-0.08612,0
Kepler-32 c,-0.03664219078299707,-0.3345055518618196,-0.005438232430429298,-0.12737739287788846,-0.07812966296248983,0.14722536988149293,-0.32896506635041367,-1.462226964253365,0.04710786240144971,2.31,1.29837,8.752097,798.0,0.33,5610.0,0.574,0.509,-0.08612,0
Kepler-32 c,-0.03562699899917953,-0.1227152091663114,-0.005438232425730126,-0.12737739287788846,-0.01982812812908841,-1.6469519120154685,-0.34894906096560724,-1.2577825616831968,0.04710786240144971,2.37,188.15536,8.75210645,798.0,1.325,3903.0,0.54,0.57,-0.08612,0
Kepler-32 c,-0.041887348332720994,-0.155874272255578,-0.005438232379210799,-0.12737739287788846,-0.01982812812908841,-1.650105123407203,-0.35482670644066416,-1.2242670858520217,0.04710786240144971,2.0,158.9,8.7522,798.0,1.325,3900.0,0.53,0.58,-0.08612,0
Kepler-32 c,-0.04222574559399351,-0.1227152091663114,-0.005438232438758521,-0.12737739287788846,-0.01982812812908841,-1.7646718039735585,-0.32871115206589113,-1.2688125047792365,-3.0611245977074972,1.98,188.15536,8.75208025,798.0,1.325,3791.0,0.574432,0.566709,-1.21181,0
Kepler-32 c,-0.03850337571999588,-0.1227152091663114,-0.005438232425730126,-1.3380459060672287,-0.01982812812908841,-1.8319403136638956,-0.37245964286583505,-1.4253599408390722,0.04710786240144971,2.2,188.15536,8.75210645,449.0,1.325,3727.0,0.5,0.52,-0.08612,0
Kepler-32 c,-0.04154895107144849,-0.32724971727136704,-0.005438232478664196,-0.12737739287788846,-0.01982812812908841,0.14722536988149293,-0.35541447098816986,-1.2711887520156668,0.04710786240144971,2.02,7.7,8.752,798.0,1.325,5610.0,0.529,0.566,-0.08612,0
Kepler-32 c,-0.03664219078299707,-0.1227152091663114,-0.0054382324304740525,-0.12737739287788846,-0.01982812812908841,-1.7646718039735585,-0.32871115206589113,-1.2688125047792365,-3.0611245977074972,2.31,188.15536,8.75209691,798.0,1.325,3791.0,0.574432,0.566709,-1.21181,0
Kepler-32 c,-0.04205654696335725,-0.1227152091663114,-0.0054382323956206095,-1.1715356234509298,-0.01982812812908841,-1.4808827787174486,-0.35835329372569835,-1.3281650609286644,0.04710786240144971,1.99,188.15536,8.752167,497.0,1.325,4061.0,0.524,0.549,-0.08612,0
Kepler-32 c,-0.04153203120838486,-0.1227152091663114,-0.005437460770031514,-0.12737739287788846,-0.01982812812908841,-1.7541610993344432,-0.35541447098816986,-1.2711887520156668,-3.2837309111099287,2.021,188.15536,10.3039,798.0,1.325,3801.0,0.529,0.566,-1.29243,0
Kepler-32 c,-0.03999232366959493,-0.1227152091663114,-0.005437460770031514,-0.12737739287788846,-0.01982812812908841,-1.8277360318082496,-0.32896506635041367,0.04596944814951567,0.04710786240144971,2.112,188.15536,10.3039,798.0,1.325,3731.0,0.574,0.959,-0.08612,0
Kepler-32 c,-0.04002616339572219,-0.1227152091663114,-0.0054382334731981645,-0.12737739287788846,-0.01982812812908841,0.14722536988149293,-0.10796559648827239,0.04596944814951567,0.04710786240144971,2.11,188.15536,8.75,798.0,1.325,5610.0,0.95,0.959,-0.08612,0
Kepler-32 c,-0.03664219078299707,-0.3347870632327096,-0.005438232430429298,-0.12737739287788846,-0.06172320089881909,0.14722536988149293,-0.32896506635041367,-1.462226964253365,0.04710786240144971,2.31,1.05,8.752097,798.0,0.61,5610.0,0.574,0.509,-0.08612,0
Kepler-32 c,-0.03664219078299707,-0.1227152091663114,-0.0054382324375352445,-0.12737739287788846,-0.01982812812908841,-1.7646718039735585,-0.32871115206589113,-1.2688125047792365,-3.0611245977074972,2.31,188.15536,8.75208271,798.0,1.325,3791.0,0.574432,0.566709,-1.21181,0
Kepler-32 c,-0.044763725053537345,-0.1227152091663114,-0.0054382324304740525,-1.3311079776248829,-0.01982812812908841,-1.8277360318082496,-0.37363517196084645,-1.462226964253365,0.04710786240144971,1.83,188.15536,8.75209691,451.0,1.325,3731.0,0.498,0.509,-0.08612,0
