pl_name,predicted_class,habitability_probability,habitability_score,actual_label,pl_rade,pl_eqt,pl_insol,st_teff,rank
Kepler-553 c,0,0.0028318104,0.28318104,0,11.57887706,251.0,0.589,5191.0,233
Kepler-61 b,0,0.002770411,0.2770411,0,2.17,272.0,1.3,4014.0,234
Kepler-61 b,0,0.002770411,0.2770411,0,2.17,272.0,1.3,4014.0,235
Kepler-61 b,0,0.002770411,0.2770411,0,2.17,272.0,1.3,4014.0,236
Kepler-61 b,0,0.002770411,0.2770411,0,2.19,273.0,1.31,4016.0,237
Kepler-1704 b,0,0.0027641736,0.27641734,0,11.94877343,253.8,0.342,5746.0,238
Kepler-1549 b,0,0.0026955071,0.2695507,0,2.71,266.0,1.18,5375.0,239
Kepler-1549 b,0,0.0026955071,0.2695507,0,2.71,266.0,1.18,5375.0,240
Kepler-1549 b,0,0.0026955071,0.2695507,0,2.71,266.0,1.18,5375.0,241
Kepler-421 b,0,0.0026883457,0.26883456,0,4.53,178.0,0.24,5305.0,242
Kepler-421 b,0,0.0026883457,0.26883456,0,4.53,178.0,0.24,5305.0,243
Kepler-167 e,0,0.0026320696,0.26320696,0,10.15,130.9,0.0739,4890.0,244
Kepler-1536 b,0,0.0026293383,0.26293382,0,2.98,166.0,0.18,4386.0,245
Kepler-1536 b,0,0.0026293383,0.26293382,0,2.98,166.0,0.18,4386.0,246
Kepler-1536 b,0,0.0026293383,0.26293382,0,2.89,166.0,0.18,4386.0,247
Kepler-167 e,0,0.0026293383,0.26293382,0,9.27,129.0,0.07,4799.0,248
Kepler-1536 b,0,0.0026293383,0.26293382,0,2.98,166.0,0.18,4386.0,249
TOI-2285 b,0,0.002624049,0.26240492,0,1.57811359,287.08,1.6051,3546.0,250
Kepler-26 e,0,0.0024080938,0.24080938,0,2.13,276.0,1.37,3879.0,251
Kepler-26 e,0,0.0024080938,0.24080938,0,2.11,273.0,1.32,3887.0,252
Kepler-26 e,0,0.0024080938,0.24080938,0,2.11,273.0,1.32,3887.0,253
Kepler-26 e,0,0.0024080938,0.24080938,0,2.11,273.0,1.32,3887.0,254
Kepler-1654 b,0,0.0023291295,0.23291294,0,9.180171,206.0,0.3,5597.0,255
TOI-4504 c,0,0.0023267118,0.23267117,0,11.4756331,182.8,0.2639,5271.0,256
Kepler-1635 b,0,0.0023050562,0.23050562,0,3.24,200.0,0.37,5474.0,257
Kepler-1981 b,0,0.0021022903,0.21022902,0,3.71,270.0,1.26,6109.0,258
Kepler-1981 b,0,0.0021022903,0.21022902,0,3.71,270.0,1.26,6109.0,259
Kepler-167 e,0,0.0021011534,0.21011534,0,11.11,144.0,0.1,4978.0,260
Kepler-167 e,0,0.0021011534,0.21011534,0,11.11,144.0,0.1,4978.0,261
Kepler-159 c,0,0.0019974036,0.19974035,0,2.05,275.0,1.35,3893.0,262
Kepler-560 b,0,0.001972073,0.1972073,0,1.47,298.0,1.18,3430.0,263
Kepler-1455 b,0,0.0018899929,0.18899928,0,1.97,272.0,1.3,3894.0,264
Kepler-1455 b,0,0.0018899929,0.18899928,0,1.97,272.0,1.3,3894.0,265
Kepler-1455 b,0,0.0018899929,0.18899928,0,1.97,272.0,1.3,3894.0,266
Kepler-1630 b,0,0.001796704,0.17967041,0,2.62,182.0,0.26,5037.0,267
Kepler-1630 b,0,0.001796704,0.17967041,0,2.62,182.0,0.26,5037.0,268
Kepler-155 c,0,0.0013704129,0.13704129,0,1.87,271.0,1.28,3984.0,269
Kepler-155 c,0,0.0013704129,0.13704129,0,1.76,271.0,1.28,3985.0,270
Kepler-155 c,0,0.0013704129,0.13704129,0,1.76,271.0,1.28,3985.0,271
Kepler-155 c,0,0.0013704129,0.13704129,0,1.76,271.0,1.28,3985.0,272
Kepler-1455 b,0,0.0013704129,0.13704129,0,1.75,271.0,1.28,3899.0,273
K2-3 d,0,0.0013587025,0.13587025,0,1.52,282.0,282.0,3896.0,274
Kepler-315 c,0,0.0012923761,0.1292376,0,3.64,269.0,1.24,5724.0,275
Kepler-315 c,0,0.0012923761,0.1292376,0,3.64,269.0,1.24,5724.0,276
