pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,pl_dens,st_teff,st_lum,st_met,st_spectype
13.00244,1608.2198,9.24285,0.0892,1100.0,4.0,5880.0,,0.14,
,1366.669,9.24285,0.09,,,,,,
9.42,1347.54,9.24285,0.0902,1002.0,8.87,5880.0,,0.14,G2 V
,,1675.0,2.9,,,,,,
14.5717,705.5826,2.72474,0.0416,,1.24,6200.0,,0.0,
14.5717,718.2958,2.72474,0.0417,,1.36,6200.0,,0.0,F8 IV
4.88,12.2,9.75598,0.092,885.0,0.249,5939.0,,0.17,G3 V
11.77,889.9,3.6313,0.048,1660.0,3.0,5900.0,,0.05,G0 V
11.76945,982.0947,3.6313,0.0484,,3.3,5900.0,,0.05,
13.22662,972.5598,3.6313,0.04809,1710.0,2.3275,5900.0,,0.05,
3.7,5.7,5.1134,0.056,1070.0,0.9,4950.0,,0.3,K1 V
5.0,28.0,11.759,0.098,850.0,1.3,4950.0,,0.3,K1 V
12.11,85.81,4.86069,0.0578,1330.0,0.15,6040.0,,-0.01,F9
12.10572,93.12419,4.86069,0.05789,,0.24,6040.0,,-0.01,
14.12334,184.3414,4.20474,0.0525,,0.36,5590.0,,0.01,
14.12,165.26,4.20474,0.0526,1600.0,0.28,5590.0,,0.01,G5
11.287,3302.11,3.57532,0.0476,1500.0,12.6,5900.0,,-0.1,G2
11.287463,3273.649,3.57532,0.0467,,12.5,5900.0,,-0.1,
10.704595,153.82972,5.20851,0.0603,,0.69,5150.0,,0.15,G8/9 IV
10.704595,152.87623,5.20851,0.059,,0.68,5150.0,,0.15,
10.0881,266.9772,2.85057,0.039,,1.44,5260.0,,0.2,
10.0881,270.1555,2.85057,0.0386,,1.45,5260.0,,0.2,K0 V
,,2.8505615,,,,5268.0,-0.09414,,
11.623733,6979.5468,4.2567994,0.05783,1695.0,24.5,6740.0,,-0.02,
11.32109,6814.2752,4.2567994,0.0574,,25.9,6740.0,,-0.02,
,,,,,,6558.0,,0.14,
11.32,6883.91,4.2568,,,26.4,6740.0,,,F3 V
11.1350206,6747.5309,4.2567994,0.05694,,,,,,
