planet_radius_earth,planet_mass_earth,orbital_period_days,semi_major_axis_AU,equilibrium_temp_K,planet_density,star_temp_K,star_luminosity,star_metallicity,star_type
2.3,154.306465,19.4921498,0.10086,797.0,1.33,6025.0,-0.0828599999999999,0.1,G0
1.83,154.306465,2.28896,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
1.323,154.306465,2.28943,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,5.213,0.10086,797.0,1.33,5008.0,-0.46654,-0.0039,G0 V
2.29,154.306465,5.21378,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.17,154.306465,18.0983,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.21,154.306465,18.0971,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
1.6,154.306465,34.885,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
1.39,154.306465,15.2841,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
1.12,154.306465,15.2841,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,23.226,0.10086,797.0,1.33,6055.0,0.03848,-0.0039,G0 V
2.3,154.306465,23.24110566,0.10086,797.0,1.33,6055.0,0.03848,-0.0039,G0 V
2.3,154.306465,23.226,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.31,154.306465,23.2259,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.24459533,154.306465,23.226001,0.10086,797.0,1.33,5928.0,-0.0828599999999999,-0.21,G0 V
1.2,154.306465,0.578657,0.10086,797.0,1.33,5765.0,-0.0828599999999999,-0.39,G0 V
2.3,154.306465,11.811437,0.10086,797.0,1.33,5765.0,-0.0828599999999999,-0.39,G0 V
2.67,154.306465,11.81387,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,13.60697954,0.10086,797.0,1.33,4581.0,-0.75057,-0.0039,G0 V
2.3,154.306465,13.603,0.10086,797.0,1.33,4581.0,-0.75057,-0.0039,G0 V
0.99,154.306465,0.762406,0.10086,797.0,1.33,5620.0,-0.0828599999999999,0.28,G0 V
1.48,154.306465,0.70531,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
1.73,154.306465,0.705386,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
1.6,154.306465,0.70531,0.10086,797.0,1.33,5499.0,-0.0828599999999999,-0.23,G0 V
1.8,154.306465,0.571336,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
1.66855539,154.306465,0.571299,0.10086,797.0,1.33,5590.0,-0.0828599999999999,0.08,G0 V
1.6,154.306465,0.571212,0.10086,797.0,1.33,5613.0,-0.0828599999999999,0.01,G0 V
1.816,154.306465,0.571285,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
1.46,154.306465,0.571308,0.10086,797.0,1.33,5590.0,-0.11919,0.025,G5
2.53,154.306465,13.341245,0.10086,797.0,1.33,5590.0,-0.11919,0.025,G5
2.70490157,154.306465,13.339746,0.10086,797.0,1.33,5590.0,-0.0828599999999999,0.08,G0 V
2.8,154.306465,13.338687,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.2,154.306465,13.334615,0.10086,797.0,1.33,5613.0,-0.0828599999999999,0.01,G0 V
3.79,154.306465,13.33877,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.05969274,154.306465,16.140442,0.10086,797.0,1.33,5870.0,-0.0828599999999999,-0.15,G0 V
2.3,154.306465,6.1802679,0.10086,797.0,1.33,6202.0,0.52634,0.141,F5 V
2.61,154.306465,1.5804043,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,10.3392924,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.64,154.306465,1.5804049,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,1.580404341,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,5.2354,0.053,797.0,1.33,4347.0,-0.79588,-0.0039,M0 V
2.3,154.306465,8.63182,0.0607,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,25.63058,0.1254,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,603.95116,1.0304,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,17.133,0.092,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,106.3,0.309,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,2.38129,0.034,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,69.971,0.283,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,272.7,0.71,797.0,1.33,4159.0,-0.84527,0.6,M0 V
2.3,154.306465,121.995,0.339,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,121.93268,0.384,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,526.115,0.898,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,579.47495,1.086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
