pl_name,hostname,pl_rade,pl_orbper,pl_orbsmax,pl_eqt,st_teff,st_rad,st_mass,st_met,disc_year,discoverymethod,default_flag
7 CMa c,7 CMa,2.3,10.3392924,2.205,797.0,5613.0,5.198,1.439,-0.0039,2019,Radial Velocity,0
7 CMa c,7 CMa,2.3,996.0,2.153,797.0,4826.0,4.87,1.34,0.21,2019,Radial Velocity,1
70 Vir b,70 Vir,2.3,116.6926,0.481,797.0,5439.0,1.94,1.09,-0.09,1996,Radial Velocity,0
70 Vir b,70 Vir,2.3,116.69335,0.4765,797.0,5481.86,1.921943,1.06055,-0.0402,1996,Radial Velocity,0
70 Vir b,70 Vir,2.3,116.688,0.481,797.0,5495.0,1.89,1.09,-0.0039,1996,Radial Velocity,1
70 Vir b,70 Vir,2.3,116.689,0.456,797.0,5613.0,0.951815,0.959,-0.0039,1996,Radial Velocity,0
70 Vir b,70 Vir,2.3,116.6884,0.48,797.0,5531.0,1.84,1.14,-0.06,1996,Radial Velocity,0
70 Vir b,70 Vir,2.3,116.6884,0.484,797.0,5545.0,0.951815,1.11,-0.012,1996,Radial Velocity,0
75 Cet b,75 Cet,2.3,691.9,2.1,797.0,4846.0,10.5,2.49,0.0,2012,Radial Velocity,0
75 Cet b,75 Cet,2.3,696.62,1.912,797.0,4809.0,10.38,1.92,0.1,2012,Radial Velocity,1
75 Cet c,75 Cet,2.3,2051.62,3.929,797.0,4809.0,10.38,1.92,0.1,2023,Radial Velocity,1
8 UMi b,8 UMi,2.3,93.31,0.462,797.0,4847.0,10.73,1.51,-0.03,2015,Radial Velocity,1
8 UMi b,8 UMi,2.3,93.4,0.49,797.0,4847.4,9.9,1.8,-0.03,2015,Radial Velocity,0
8 UMi b,8 UMi,2.3,93.4,0.49,797.0,4847.0,10.3,1.44,-0.03,2015,Radial Velocity,0
81 Cet b,81 Cet,2.3,10.3392924,2.17,797.0,5613.0,0.951815,1.6,-0.0039,2008,Radial Velocity,0
81 Cet b,81 Cet,2.3,1005.57,2.104,797.0,4734.0,11.21,1.23,-0.11,2008,Radial Velocity,1
81 Cet b,81 Cet,2.3,952.7,2.5,797.0,4785.0,11.0,2.4,-0.06,2008,Radial Velocity,0
91 Aqr b,91 Aqr,2.3,181.4,0.7,797.0,4665.0,11.0,1.4,-0.03,2013,Radial Velocity,1
AB Aur b,AB Aur,2.3,10.3392924,93.9,797.0,9770.0,0.951815,2.4,-0.0039,2022,Imaging,1
AB Pic b,AB Pic,2.3,10.3392924,260.0,797.0,5613.0,0.951815,0.959,-0.0039,2005,Imaging,1
AF Lep b,AF Lep,2.3,7520.0,7.99,1400.0,6100.0,1.25,1.201,-0.0039,2023,Imaging,0
AF Lep b,AF Lep,2.3,8030.0,8.4,797.0,6130.0,1.25,1.2,0.19,2023,Imaging,0
AF Lep b,AF Lep,2.3,8905.0,8.996,797.0,5613.0,0.951815,1.218,-0.0039,2023,Imaging,1
AF Lep b,AF Lep,2.3,9060.0,9.3,797.0,6140.0,0.951815,1.13,-0.0039,2023,Imaging,0
AT2021ueyL b,AT2021ueyL,2.3,4168.69,4.01,797.0,3680.0,0.951815,0.49,-0.0039,2025,Microlensing,1
AU Mic b,AU Mic,4.203375,8.46321,0.066,797.0,3700.0,0.75,0.5,-0.0039,2020,Transit,0
AU Mic b,AU Mic,2.3,8.46321,0.10086,797.0,5613.0,0.951815,0.959,-0.0039,2020,Transit,0
AU Mic b,AU Mic,3.95677019,8.46308,0.0649,600.0,3678.0,0.744,0.51,0.23,2020,Transit,1
AU Mic b,AU Mic,2.3,8.4629991,0.0645,797.0,5613.0,0.951815,0.5,-0.0039,2020,Transit,0
AU Mic b,AU Mic,2.3,8.463,0.10086,797.0,3700.0,0.75,0.5,-0.0039,2020,Transit,0
AU Mic b,AU Mic,4.02692583,8.45367765822,0.10086,754.62,3588.0,0.698009,0.959,-0.0039,2020,Transit,0
AU Mic b,AU Mic,2.3,8.463446,0.10086,797.0,3665.0,0.82,0.6,0.12,2020,Transit,0
AU Mic b,AU Mic,4.07,8.463,0.0645,593.0,3700.0,0.75,0.5,-0.0039,2020,Transit,0
AU Mic b,AU Mic,4.19,8.4630004,0.0644,797.0,5613.0,0.75,0.959,-0.0039,2020,Transit,0
AU Mic b,AU Mic,2.3,8.4631427,0.10086,797.0,3665.0,0.82,0.6,0.12,2020,Transit,0
AU Mic b,AU Mic,2.3,8.46321,0.10086,797.0,3700.0,0.75,0.5,-0.0039,2020,Transit,0
AU Mic c,AU Mic,2.79,18.858982,0.11,797.0,5613.0,0.75,0.959,-0.0039,2021,Transit,0
AU Mic c,AU Mic,2.3,18.858991,0.1101,797.0,5613.0,0.951815,0.5,-0.0039,2021,Transit,0
AU Mic c,AU Mic,2.52202066,18.85969,0.1108,459.0,3678.0,0.744,0.51,0.23,2021,Transit,1
AU Mic c,AU Mic,2.3,18.859018,0.10086,797.0,3665.0,0.82,0.6,0.12,2021,Transit,0
AU Mic c,AU Mic,2.3,18.859019,0.10086,797.0,3700.0,0.75,0.5,-0.0039,2021,Transit,0
AU Mic c,AU Mic,3.24,18.859019,0.1101,454.0,3700.0,0.75,0.5,-0.0039,2021,Transit,0
AU Mic c,AU Mic,2.3,18.85882,0.10086,797.0,3665.0,0.82,0.6,0.12,2021,Transit,0
AU Mic d,AU Mic,2.3,12.73596,0.10086,797.0,3678.0,0.744,0.51,0.23,2023,Transit Timing Variations,1
AU Mic e,AU Mic,2.3,33.11,0.10086,797.0,3665.0,0.82,0.6,0.12,2025,Radial Velocity,1
AU Mic e,AU Mic,2.3,33.39,0.10086,797.0,3665.0,0.82,0.6,0.12,2025,Radial Velocity,0
BD+03 2562 b,BD+03 2562,2.3,481.9,1.3,797.0,4095.0,32.35,1.14,-0.71,2017,Radial Velocity,1
BD+05 4868 A b,BD+05 4868 A,2.3,1.271869,0.0208,1820.0,4596.0,0.69,0.7,-0.05,2025,Transit,1
BD+14 4559 b,BD+14 4559,2.3,268.94,0.78,797.0,4864.0,0.86,0.49,0.17,2009,Radial Velocity,1
BD+14 4559 b,BD+14 4559,2.3,268.94,0.777,797.0,5008.0,0.95,0.86,0.1,2009,Radial Velocity,0
BD+15 2375 b,BD+15 2375,2.3,153.22,0.576,797.0,4649.0,8.95,1.08,-0.22,2016,Radial Velocity,1
BD+15 2940 b,BD+15 2940,2.3,137.48,0.539,797.0,4796.0,14.7,1.1,0.28,2013,Radial Velocity,1
BD+20 2457 b,BD+20 2457,2.3,379.63,1.45,797.0,4137.0,49.0,2.8,-1.0,2009,Radial Velocity,1
BD+20 2457 b,BD+20 2457,2.3,379.63,1.05,797.0,4259.0,71.02,10.83,-0.79,2009,Radial Velocity,0
BD+20 2457 c,BD+20 2457,2.3,621.99,2.01,797.0,4137.0,49.0,2.8,-1.0,2009,Radial Velocity,1
BD+20 274 b,BD+20 274,2.3,578.2,1.3,797.0,4296.0,17.3,0.8,-0.46,2012,Radial Velocity,1
BD+20 594 b,BD+20 594,2.57807,41.6855,0.10086,797.0,5766.0,1.08,1.67,-0.15,2016,Transit,1
BD+20 594 b,BD+20 594,2.35545351,41.688644,0.10086,797.0,5703.0,0.956122,0.963861,-0.06,2016,Transit,0
BD+20 594 b,BD+20 594,2.23,41.6855,0.241,546.0,5766.0,0.928,0.961,-0.15,2016,Transit,0
BD+37 3172 b,BD+37 3172,2.3,1887.76,4.65,797.0,4500.0,50.24,3.75,-0.03,2023,Radial Velocity,1
BD+42 2315 b,BD+42 2315,2.3,123.05,0.54,797.0,4500.0,17.85,1.38,-0.2,2023,Radial Velocity,1
BD+45 564 b,BD+45 564,2.3,307.88,0.83,797.0,5004.0,0.951815,0.81,-0.09,2021,Radial Velocity,1
BD+48 738 b,BD+48 738,2.3,392.6,1.0,797.0,4414.0,11.0,0.74,-0.2,2011,Radial Velocity,1
BD+48 740 b,BD+48 740,2.3,733.0,1.7,797.0,4534.0,10.33,1.09,-0.13,2018,Radial Velocity,1
BD+49 828 b,BD+49 828,2.3,2590.0,4.2,797.0,4943.0,7.6,1.52,-0.19,2015,Radial Velocity,1
