pl_rad,pl_mass,pl_orbper,pl_sma,pl_ecc,st_temp,st_met,st_rad,st_age,st_mass,habitable,predicted_habitability_score,habitability_score
1.193,1.32,0.5182331,0.11415,0.0,3458.0,0.1,0.391,4.17,0.381,1,1.0,1.0
2.43818351,7.4,3.6511,0.026,0.04,3442.0,-0.04,0.192,4.17,0.2749999999999999,1,1.0,1.0
2.13,176.0769375,10.71252541,0.11415,0.09,4253.0,-0.35,0.57,3.39,0.59,1,1.0,1.0
1.6,4.13,4.64489,0.0491,0.09,4540.0,0.04,0.678,2.0,0.73,1,1.0,1.0
2.43818351,36.0,92.086427889875,2.00484242875,0.27,3607.0,-0.34,0.38,4.17,0.38,1,0.9966666666666668,1.0
1.6,176.0769375,2.576549,0.031,0.09,4252.0,0.02,0.559,4.17,0.948,1,0.9966666666666668,1.0
1.59,176.0769375,8.7529,0.0705,0.09,4326.0,0.02,0.546,4.17,0.611,1,0.9966666666666668,1.0
1.53,6.75,3.07222,0.0372,0.09,4540.0,0.04,0.678,2.0,0.73,1,1.0,1.0
1.61,176.0769375,10.864384,0.079,0.33,3740.0,-0.08,0.48,4.17,0.498,1,1.0,1.0
1.5,176.0769375,2.896,0.033,0.09,3900.0,0.0,0.53,4.17,0.58,1,1.0,1.0
1.242,2.33,1.9495378,0.01848,0.09,3442.0,-0.13,0.246,4.17,0.2749999999999999,1,0.9933333333333332,1.0
2.67,6.93,7.05246,0.0648,0.09,4540.0,0.04,0.678,2.0,0.73,1,1.0,1.0
2.26,176.0769375,10.93241,0.0818,0.09,3930.0,-0.33,0.57,4.17,0.61,1,1.0,1.0
1.82,176.0769375,92.086427889875,0.341,0.09,4351.0,0.02,0.566,4.17,0.948,1,0.9833333333333332,1.0
1.272,1.91,3.77794,0.027,0.05,3442.0,-0.15,0.2159,5.0,0.2749999999999999,1,0.9966666666666668,1.0
1.73,5.6,24.73723,0.0946,0.043,3442.0,-0.15,0.2159,5.0,0.2749999999999999,1,1.0,1.0
1.09,176.0769375,3.306539,0.035,0.09,3568.0,0.02,0.482,4.17,0.948,1,1.0,1.0
0.566,176.0769375,1.7446999,0.02123,0.09,3485.0,0.15,0.4314,4.17,0.4193,1,1.0,1.0
2.43818351,3.85,14.237,0.0808,0.0,3442.0,0.07,0.36,6.8,0.35,1,1.0,1.0
2.43818351,3.88,53.647,0.196,0.0,3442.0,0.07,0.36,6.8,0.35,1,0.9933333333333332,1.0
1.56,176.0769375,18.596108,0.116,0.09,4252.0,0.02,0.559,4.17,0.948,1,1.0,1.0
2.43818351,2.89,18.6498,0.091101,0.1,3442.0,0.09,0.293,4.17,0.29,1,1.0,1.0
2.43818351,1.18,4.7234,0.036467,0.17,3442.0,0.09,0.293,4.17,0.29,1,1.0,1.0
2.43818351,2.8,23.064,0.1052,0.044,3442.0,-0.38,0.3155,4.94,0.2923,1,1.0,1.0
